iter	Passed	Remaining
917	457718	40885
918	458148	40380
919	458579	39876
920	459013	39372
921	459436	38867
922	459887	38365
923	460337	37863
924	460807	37362
925	461271	36861
926	461710	36359
927	462193	35859
928	462758	35366
929	463260	34869
930	463764	34371
931	464266	33873
932	464746	33374
933	465174	32871
934	465627	32369
935	466124	31871
936	466586	31371
937	467069	30872
938	467528	30371
939	468020	29873
940	468509	29375
941	468997	28876
942	469487	28378
943	469984	27880
944	470469	27381
945	470997	26885
946	471506	26388
947	471953	25887
948	472415	25388
949	472897	24889
950	473424	24393
951	473913	23894
952	474376	23395
953	474861	22896
954	475353	22398
955	475799	21898
956	476268	21399
957	476723	20900
958	477161	20400
959	477613	19900
960	478038	19400
961	478452	18899
962	478890	18399
963	479316	17899
964	479799	17402
965	480249	16903
966	480811	16408
967	481360	15912
968	481903	15416
969	482317	14917
970	482763	14418
971	483186	13918
972	483657	13421
973	484137	12923
974	484596	12425
975	485054	11927
976	485520	11429
977	485998	10932
978	486399	10433
979	486822	9935
980	487268	9437
981	487698	8939
982	488163	8442
983	488632	7945
984	489106	7448
985	489573	6951
986	490018	6454
987	490412	5956
988	490845	5459
989	491320	4962
990	491800	4466
991	492225	3969
992	492667	3472
993	493079	2976
994	493562	2480
995	494019	1984
996	494481	1487
997	494958	991
998	495393	495
999	495838	0
